,Zip,City,Latitude,Longitude,Student Count
343,1520,Holden,42.338962,-71.84434,4406.0
345,1832,Haverhill,42.781357,-71.11023,4243.0
347,2114,Boston,42.361792,-71.06774,
348,1740,Bolton,42.437086,-71.61266,1823.0
352,2726,Somerset,41.754828,-71.14894,2721.0
356,1440,Gardner,42.575355,-71.99183,
359,1505,Boylston,42.338392,-71.73026,869.0
361,1022,Chicopee,42.196666,-72.55606,
362,1118,Springfield,42.093144,-72.5291,1191.0
364,1223,Becket,42.314449,-73.09335,116.0
365,2664,South Yarmouth,41.670981,-70.19797,1497.0
366,1760,Natick,42.290763,-71.35368,5458.0
367,1089,West Springfield,42.112793,-72.64066,4122.0
368,1364,Orange,42.599614,-72.29263,1334.0
369,2131,Roslindale,42.284678,-71.13052,3117.0
370,1564,Sterling,42.436875,-71.77333,820.0
373,1436,Baldwinville,42.608903,-72.08021,1239.0
374,2048,Mansfield,42.019982,-71.2191,4066.0
375,2124,Boston,42.28713,-71.07156,4729.0
378,2532,Buzzards Bay,41.751841,-70.59764,2731.0
379,1721,Ashland,42.257956,-71.45886,2725.0
381,2720,Fall River,41.716952,-71.13986,
382,1062,Florence,42.324232,-72.67915,835.0
383,2493,Weston,42.358663,-71.28831,2203.0
387,2421,Lexington,42.439295,-71.23553,5272.0
388,1984,Wenham,42.600518,-70.87618,249.0
389,2642,Eastham,41.844087,-69.98921,176.0
390,1002,Amherst,42.377651,-72.50323,2676.0
392,1031,Gilbertville,42.33071,-72.18833,228.0
393,1951,Newbury,42.780141,-70.86866,502.0
395,2557,Oak Bluffs,41.417376,-70.560032,1088.0
398,1516,Douglas,42.061437,-71.72887,1479.0
401,2128,Boston,42.378297,-71.0255,6273.0
404,1355,New Salem,42.485899,-72.33345,167.0
405,1034,Granville,42.086224,-72.94464,93.0
410,2045,Hull,42.286347,-70.87663,975.0
411,2021,Canton,42.166776,-71.1343,
413,1085,Westfield,42.133642,-72.75029,5468.0
414,1340,Colrain,42.673371,-72.73104,111.0
415,1886,Westford,42.592086,-71.43754,5921.0
417,1754,Maynard,42.430781,-71.45594,1470.0
418,1020,Chicopee,42.175992,-72.57265,5568.0
419,1966,Rockport,42.659936,-70.61727,961.0
420,2053,Medway,42.151526,-71.42315,2376.0
424,1354,Northfield,42.522178,-72.624164,114.0
425,2568,Vineyard Haven,41.451263,-70.60872,337.0
427,2191,Weymouth,42.242749,-70.94434,543.0
428,2494,Needham,42.29813,-71.23154,2524.0
430,2330,Carver,41.873697,-70.7656,1641.0
432,1001,Agawam,42.07061,-72.62029,3092.0
